word;meaning;pos;plural;present;fs;mp;fp;uses;example;arabicScript;pronunciation;usesPronunciation
tennis; tennis; Noun;;;;;;;; تينيس; [sound:darija_881.mp3];
dak hadak; that; Determiner;;;;;;;;; [sound:darija_947.mp3];
temma temmak; there; Adverb;;;;;;;;; [sound:darija_948.mp3];
homa; they; Pronoun;;;;;;;; هوما; [sound:darija_887.mp3];
7aja; thing; Noun;7ajat 7wayej;;;;;;;حاجة; [sound:darija_888.mp3];
tkheyyel; to imagine; Verb;;tkheyyel;;;;;; تخيّل; [sound:darija_889.mp3];
had; this; Determiner;;;;;;;; هاد; [sound:darija_890.mp3];
ticket; ticket; Noun;ticketat;;;;;;; تيكي; [sound:darija_891.mp3];
gal 3awed;to tell to say; Verb;;gul 3awed;;;;;;; [sound:darija_949.mp3];
chejra; tree; Noun;chjer chejrat;;;;;;; شجرة; [sound:darija_895.mp3];
fu9; up; Adverb;;;;;;;; فوق; [sound:darija_896.mp3];
dafi; warm;Adjective;;;dafya;dafyin;dafyat;;; دافي; [sound:darija_899.mp3];
jew Te9s; weather; Noun;;;;;;;;; [sound:darija_950.mp3];
site; website; Noun;;;;;;;; سايت; [sound:darija_904.mp3];
mezyan; well good; Adverb;;;;;;;; مزيان; [sound:darija_905.mp3];
imta fu9ach; when what time; Adverb;;;;;;;;; [sound:darija_951.mp3];
fin; where; Adverb;;;;;;;; فين; [sound:darija_908.mp3];
achmen ina; which what; Determiner;;;;;;;;; [sound:darija_952.mp3];
gha ghadi; will; Modal Verb;;;;;;;;; [sound:darija_953.mp3];
berd ri7; wind; Noun;;;;;;;;; [sound:darija_954.mp3];
3alam; world; Noun;3awalim;;;;;;; عالم; [sound:darija_918.mp3];
nta nti; you; Pronoun;;;;;;;;; [sound:darija_955.mp3];
mura;behind after;;;;;;;;; مورا; [sound:darija_761.mp3];
merra khra;another time again;;;;;;;;; مرة أخرى; [sound:darija_763.mp3];
3awttani;again;;;;;;;;; عوّتاني; [sound:darija_764.mp3];
ga3;all whole;;;;;;;;; ع; [sound:darija_766.mp3];
da2iman;always;;;;;;;;; دايما; [sound:darija_770.mp3];
u;and;;;;;;;;; و; [sound:darija_771.mp3];
w;and;;;;;;;;; و; [sound:darija_772.mp3];
khubz;bread;;;;;;;;; خبز; [sound:darija_781.mp3];
khebz;bread;;;;;;;;; خبز; [sound:darija_782.mp3];
ghame9;dark;Adjective;;;gham9a;gham9in;gham9at;;; غامق; [sound:darija_790.mp3];
mDellem;dark;Adjective;;;mdellma;mdellmin;mdellmat;;; مظلم; [sound:darija_791.mp3];
kul wa7ed;each one every one;;;;;;;;; كل واحد; [sound:darija_796.mp3];
kulla wa7ed;each one every one;;;;;;;;; كُلة واحد; [sound:darija_797.mp3];
nihaya;end;;;;;;;;; نهاية; [sound:darija_798.mp3];
la fin;end;;;;;;;;; لافين; [sound:darija_799.mp3];
kull;every each;;;;;;;;; كل; [sound:darija_801.mp3];
kulla;every each;;;;;;;;; كُلة; [sound:darija_802.mp3];
ki;like;;;;;;;;; كي; [sound:darija_816.mp3];
3jeb 3ejb;gefällt;Verb;;3jeb 3ejb;;;;;;; [sound:darija_825.mp3];
ch7al men;so many;;;;;;;;; شحال من; [sound:darija_830.mp3];
met7ef;museum;;mata7if;;;;;;; متحف; [sound:darija_833.mp3];
musée;museum;Noun;musées;;;;;;; ميزي; [sound:darija_834.mp3];
jarida;journal;;jara2id;;;;;;; جريدة; [sound:darija_837.mp3];
journal;journal;;journaux;;;;;;; جورنال; [sound:darija_838.mp3];
li jay;coming next;;;;;;;;; لي جاي; [sound:darija_839.mp3];
Driyef;kind nice;Adjective;;;Driyfa;Draf Driyfin;Driyfat;;; درييف; [sound:darija_842.mp3];
charef;old;Adjective;;;charfa;charfin;charfat;;; شريف; [sound:darija_847.mp3];
ulla;or;;;;;;;;; ولا; [sound:darija_849.mp3];
lkharej;outside;Noun;;;;;;;; الخارْج; [sound:darija_853.mp3];
morceau;piece;Noun;;;;;;;; مورسو; [sound:darija_857.mp3];
daba chwiya;soon;;;;;;;;; دابا شوية; [sound:darija_871.mp3];
bientôt;soon;;;;;;;;; بيانتو; [sound:darija_872.mp3];
sme7 lia;sorry;;;;;;;;; سمح ليا; [sound:darija_873.mp3];
pardon;sorry;;;;;;;;; باردون; [sound:darija_874.mp3];
3tader;to apologize;;;3tader;;;;;; اعتذر; [sound:darija_875.mp3];
dak;that;;;;;;;;; داك; [sound:darija_882.mp3];
hadak;that;;;;;;;;; هاداك; [sound:darija_883.mp3];
temmak;there;;;;;;;;; تماك; [sound:darija_886.mp3];
jew;weather;;;;;;;;; جو; [sound:darija_902.mp3];
Te9s;weather;;;;;;;;; طقس; [sound:darija_903.mp3];
imta;when;;;;;;;;; إمتا; [sound:darija_906.mp3];
achmen;what which;;;;;;;;; أشمّن; [sound:darija_909.mp3];
gha;just only;;;;;;;;; غا; [sound:darija_912.mp3];
ri7;wind;;;;;;;;; ريح; [sound:darija_915.mp3];
